Title,price,rating,reviews
"Electronic Calculator,12 Digits Large LCD Display Small Desktop Calculator,Pink Basic Calculators with Big Buttons,Easy to Press Mechanical Switch Calculator Office Supplies for Home and School (Pink)",7.72,4.5,49
"8 Pack Desk Calculators with Big Buttons and Large Display Dual Power Desktop Calculators 12 Digit Solar Power Calculator for Office, Home, School",26.99,4.5,29
"Scientific Calculator with Graph Functions for College and High School Students, Engineering, Advanced Mathematics, Calculus, Algebra, Geometery, Trigonometry, Statistics, Physics, Chemistry - Green",39.99,4.3,262
"Scientific Calculator with Graphic Functions - Multiple Modes with Intuitive Interface - Perfect for Beginner and Advanced Courses, High School or College",39.99,4.3,5094
"Mr. Pen- Standard Function Calculator, 12 Digits, Small Calculator, Solar Calculator, Pocket Calculator, Simple Calculator, Basic Office Calculators, Solar Handheld Calculator, Standard Calculator",5.85,4.4,751
"Scientific Calculator for Students, 991 MS Science Calculator for Middle and High School Supplies Calculator with Cover (991MS-Blue)",9.99,4.5,54
Texas Instruments TI-84 Plus CE with Python Graphing Calculator,1492.99,,
"Texas Instruments TI-84 Plus Graphing Calculator, Black",103.85,4.7,5223
"18 Pieces Pocket Calculator,Pocket Size Mini Calculators,8 Digit Display Basic Calculator,Solar Battery Dual Power Desktop Calculators for Students Kids Home Office (Multicolor, 18 Pieces)",29.99,4.4,68
"Scientific Calculators for Students, Blue Math Calculator with Notepad,10-Digit Large Screen, Classroom Must Haves for Middle High School Supplies & College （Blue）",19.99,4.3,1690
"8 Pack Office Calculators Desktop, 12-Digit Solar Basic Desktop Calculator Dual Power Electronic Calculators with Large LCD Display Big Button Handheld Calculator for Office Home and School",27.99,4.7,40
FX-300ESPLS2BUSAIT,9.49,4.7,1965
